No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;EULABEL_Battery;EULABEL_Energy;EULABEL_Freefall;EULABEL_Repairability;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;OurTests_Battery;OurTests_Batteryold;OurTests_Camera;OurTests_Display;OurTests_Loudspeaker;OurTests_Performance;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker
23;Vivo;vivo iQOO Neo 10;https://www.gsmarena.com/vivo_iqoo_neo_10_5g-13904.php;N/A;N/A;"120W wired, 100W PD, 100W PPS, 50% in 15 min, 100% in 36 min
Reverse wired
Bypass Charging";Si/C Li-Ion 7000 mAh;"IP65 dust tight and water resistant (low pressure water jets)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front, plastic back, plastic frame;163.7 x 75.9 x 8.1 mm (6.44 x 2.99 x 0.32 in);Nano-SIM + Nano-SIM;206 g (7.27 oz);5.4, A2DP, LE;Yes;Yes;GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band;N/A;Shield Glass;1260 x 2800 pixels, 20:9 ratio (~453 ppi density);6.78 inches, 111.0 cm2 (~89.3% screen-to-body ratio);AMOLED, 1B colors, 144Hz, 4320Hz PWM, HDR, 2000 nits (HBM), 4400 nits (peak);N/A;N/A;N/A;N/A;Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, May 26;Available. Released 2025, June 02;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, multi-directional PDAF, OIS
8 MP, f/2.2, (ultrawide)";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30/60fps, 1080p, gyro-EIS, OIS;UFS 4.1 - 256/512GB only;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 16GB RAM;Inferno Red, Titanium Chrome, Blaze Orange, Onyx Black;N/A;₹ 30,998;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 2100;1, 3, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 42, 48;1, 3, 5, 7, 8, 18, 20, 26, 28, 38, 40, 41, 48, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720);Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm);Adreno 825;Android 15, up to 3 major Android upgrades, Funtouch 15;N/A;32 MP, f/2.5, (wide);4K@30/60fps, 1080p, gyro-EIS;N/A;No;Yes, with stereo speakers
24;Vivo;vivo iQOO 13;https://www.gsmarena.com/vivo_iqoo_13-13462.php;N/A;N/A;120W wired, PPS, 100% in 30 min;Si/C Li-Ion 6150 mAh (Global)6000 mAh (India only);"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
RGB LED light on the back";Glass front, aluminum alloy frame, glass back or glass fiber back;163.4 x 76.7 x 8 mm (6.43 x 3.02 x 0.31 in);Nano-SIM + Nano-SIM;207 g or 213 g (7.30 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC 5;Yes;Yes, 360˚;GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 3.2, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;N/A;Schott Xensation Alpha;1440 x 3168 pixels (~510 ppi density);6.82 inches, 113.0 cm2 (~90.2% screen-to-body ratio);LTPO AMOLED, 1B colors, 144Hz, 2592Hz PWM, HDR10+, 800 nits (typ), 1800 nits (HBM), 4500 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass;2024, October 30;Available. Released 2024, November 08;N/A;Color spectrum sensor, Dual-LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
50 MP, f/1.9, 50mm (telephoto), 1/2.93"", 0.6µm, PDAF, OIS, 2x optical zoom
50 MP, f/2.0, 15mm (ultrawide), 1/2.76"", 0.64µm, AF";8K@30fps, 4K@24/30/60fps, 1080p@30/60/120/240fps, gyro-EIS;UFS 4.0 or UFS 4.1;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Alpha (Black), Nardo Gray (Silver), White (BMW M branding), Ace Green;V2408A, I2401;₹ 54,998;N/A;N/A;1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 42, 66 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Active use score 18:03h;N/A;N/A;1804 nits max brightness (measured);-23.8 LUFS (Very good);"AnTuTu: 2791585 (v10)
GeekBench: 9522 (v6)
3DMark: 6368 (Wild Life Extreme)";Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M);Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm);Adreno 830;Android 15, up to 4 major Android upgrades, Funtouch 15 (International), OriginOS 5 (China);HDR;"32 MP, f/2.5, 28mm (wide), 1/3.15"", 0.7µm";4K@30/60fps, 1080p@30/60fps;"24-bit/192kHz Hi-Res audio
Snapdragon Sound";No;Yes, with stereo speakers
25;Vivo;vivo Y31 Pro;https://www.gsmarena.com/vivo_y31_pro_5g-14144.php;N/A;N/A;"44W wired, 50% in 40 min
Reverse wired";Li-Ion 6500 mAh;"IP64 dust tight and water resistant (water splashes)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front, plastic back, plastic frame;165.7 x 76.3 x 8.1 mm (6.52 x 3.00 x 0.32 in);Nano-SIM + Nano-SIM;204 g or 208 g (7.20 oz);5.4, A2DP, LE;Yes;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2408 pixels, 20:9 ratio (~393 ppi density);6.72 inches, 108.8 cm2 (~86.0% screen-to-body ratio);IPS LCD, 120Hz, 960Hz PWM, 1050 nits (HBM);N/A;N/A;N/A;N/A;Circle to Search;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2025, September 15;Available. Released 2025, September 15;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";Ring-LED flash, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30fps, gyro-EIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM;Dreamy White, Mocha Brown;N/A;About 180 EUR;0.98 W/kg (head)     0.94 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 38, 40, 41;1, 3, 5, 8, 28, 40, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 (4 nm);Mali-G615 MC2;Android 15, Funtouch 15;N/A;8 MP, (wide);1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
26;Vivo;vivo iQOO Z10;https://www.gsmarena.com/vivo_iqoo_z10-13755.php;N/A;N/A;"90W wired
Reverse wired";Si/C Li-Ion 7300 mAh;"Splash resistant
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;163.4 x 76.4 x 7.9 mm (6.43 x 3.01 x 0.31 in);Nano-SIM + Nano-SIM;199 g (7.02 oz);5.2(IN), 5.4(IDN), A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band - IndiaWi-Fi 802.11 a/b/g/n/ac/6/7, dual-band - Indonesia;N/A;N/A;1080 x 2392 pixels (~388 ppi density);6.77 inches, 110.9 cm2 (~88.8% screen-to-body ratio);AMOLED, 120Hz, 3840Hz PWM, 1300 nits (HBM), 5000 nits (peak);N/A;N/A;N/A;N/A;Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, April 11;Available. Released 2025, April 16;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30/60fps, gyro-EIS;UFS 2.2;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Stellar Black, Glacier Silver;N/A;₹ 12,998;0.99 W/kg (head)     0.87 W/kg (body);N/A;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA - Indonesia;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 2100;1, 3, 5, 8, 28, 38, 40, 41 - India;1, 3, 5, 8, 28, 38, 40, 41, 77, 78 SA/NSA - India;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520);Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm);Adreno 810;Android 15, up to 2 major Android upgrades, Funtouch 15;N/A;32 MP, f/2.0, (wide);1080p@30fps;N/A;No;Yes
27;Vivo;vivo Y17s;https://www.gsmarena.com/vivo_y17s-12568.php;N/A;N/A;"15W wired
Reverse wired";5000 mAh;IP54 dust protected and water resistant (water splashes);Glass front, plastic frame, plastic back;163.7 x 75.4 x 8.1 mm (6.44 x 2.97 x 0.32 in);Nano-SIM + Nano-SIM;186 g (6.56 oz);5.0, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~83.8% screen-to-body ratio);IPS LCD, 700 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2023, September 18;Available. Released 2023, October 02;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (depth)";LED flash, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Glitter Purple, Forest Green;N/A;N/A;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek MT6769 Helio G85 (12 nm);Mali-G52 MC2;Android 13, Funtouch 13;N/A;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes
28;Vivo;vivo iQOO Z10 Turbo+;https://www.gsmarena.com/vivo_iqoo_z10_turbo+_5g-14038.php;N/A;N/A;"90W wired, 55W PD/PPS
Reverse wired";Si/C Li-Ion 8000 mAh;IP65 dust tight and water resistant (low pressure water jets);N/A;163.7 x 75.9 x 8.2 mm (6.44 x 2.99 x 0.32 in);Nano-SIM + Nano-SIM;212 g (7.48 oz);5.4, A2DP, LE, aptX HD, LHDC 5;Yes;Yes;GPS (L1+L5), BDS (B1I+B1C+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L5), GLONASS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band;N/A;N/A;1260 x 2800 pixels, 20:9 ratio (~453 ppi density);6.78 inches, 111.0 cm2 (~89.3% screen-to-body ratio);AMOLED, 1B colors, 144Hz, HDR, 4320Hz PWM, 2000 nits (HBM), 5500 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, August 07;Available. Released 2025, August 07;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, (ultrawide)";Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;N/A;4K, 1080p, gyro-EIS, OIS;UFS 4.1;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;White, Gray, Gold;V2507A;About 250 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 2100;1, 3, 5, 8, 18, 19, 26, 28, 34, 38, 39, 40, 41, 42, 43, 48;1, 3, 5, 8, 18, 26, 28, 34, 38, 39, 40, 41, 48, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (1x3.73 GHz Cortex-X925 & 3x3.3 GHz Cortex-X4 & 4x2.4 GHz Cortex-A720);Mediatek Dimensity 9400+ (3 nm);Immortalis-G925;Android 15, OriginOS 5;N/A;"16 MP, f/2.5, (wide), 1/3.0"", 1.0µm";1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers
29;Vivo;vivo Y31;https://www.gsmarena.com/vivo_y31_5g-14143.php;N/A;N/A;"44W wired, 50% in 38 min
Reverse wired";Li-Ion 6500 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;166.1 x 77 x 8.4 mm (6.54 x 3.03 x 0.33 in);Nano-SIM + Nano-SIM;209 g (7.37 oz);4.2, A2DP, LE;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Guardian Glass (ion-strengthened);720 x 1608 pixels, 20:9 ratio (~264 ppi density);6.68 inches, 107.4 cm2 (~84.0% screen-to-body ratio);IPS LCD, 120Hz, 1000 nits (HBM);N/A;N/A;N/A;N/A;Circle to Search;Fingerprint (side-mounted), accelerometer, proximity, compass;2025, September 15;Available. Released 2025, September 15;N/A;Ring-LED flash, panorama;N/A;"50 MP, f/1.8, (wide), PDAF
Auxiliary lens";N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);128GB 4GB RAM, 128GB 6GB RAM;Rose Red, Diamond Green;N/A;About 150 EUR;1.13 W/kg (head)     0.99 W/kg (body);N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 28, 38, 40, 41;1, 3, 5, 8, 28, 40, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55);Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm);Adreno 613;Android 15, Funtouch 15;N/A;8 MP, f/2.0, (wide);1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
30;Vivo;vivo X200 Ultra;https://www.gsmarena.com/vivo_x200_ultra-13762.php;N/A;N/A;"90W wired, PD, PPS, QC, UFCS
40W wireless
Reverse wired
Reverse wireless";Si/C Li-Ion 6000 mAh;IP69/IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front, glass back, aluminum frame;163.1 x 76.8 x 8.7 mm (6.42 x 3.02 x 0.34 in);Nano-SIM + Nano-SIM;229 g or 232 g (8.08 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, aptX Lossless, LHDC 5;Yes;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS;No;USB Type-C 3.2, OTG, DisplayPort;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band;N/A;Armor glass;1440 x 3168 pixels (~510 ppi density);6.82 inches, 113.0 cm2 (~90.2% screen-to-body ratio);LTPO AMOLED, 1B colors, 120Hz, 2160Hz PWM, Dolby Vision, HDR Vivid, 4500 nits (peak);N/A;N/A;N/A;N/A;Emergency SOS via satellite (calls, messages) - 16GB + 1TB model only;Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass;2025, April 21;Available. Released 2025, April 29;N/A;Laser AF, color spectrum sensor, Zeiss optics, Zeiss T* lens coating, LED flash, panorama, HDR, 3D LUT import;N/A;N/A;"50 MP, f/1.7, 35mm (wide), 1/1.28"", 1.22µm, dual pixel PDAF, gimbal OIS
200 MP, f/2.3, 85mm (periscope telephoto), 1/1.4"", 0.56µm, multi-directional PDAF, OIS, 3.7x optical zoom, macro 3.4:1
(optional add-on zoom lens: f/2.3, 200mm, 2.35x optical zoom, Zeiss optics)

50 MP, f/2.0, 14mm, 116˚ (ultrawide), 1/1.28"", 1.22µm, dual pixel PDAF, OIS";8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, Dolby Vision HDR, 10-bit Log, HDR10+;UFS 4.1;No;256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Black, Silver, Red;V2454A, V2454DA;About 780 EUR;N/A;N/A;CDMA 800;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 42, 43, 48, 66;1, 2, 3, 5, 7, 8, 12, 18, 20, 25, 26, 28, 38, 40, 41, 48, 66, 77, 78, 79, 80, 81, 83, 84, 89 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / LTE / 5G;Active use score 13:36h;N/A;N/A;1816 nits max brightness (measured);-24.4 LUFS (Very good);"AnTuTu: 2914061 (v10)
GeekBench: 9410 (v6)
3DMark: 6816 (Wild Life Extreme)";Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M);Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm);Adreno 830;Android 15, OriginOS 5;HDR;"50 MP, f/2.5, 24mm (wide), 1/2.76"", 0.64µm, AF";4K@30/60fps, 1080p@30/60fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
31;Vivo;vivo V60 Lite 4G;https://www.gsmarena.com/vivo_v60_lite-14172.php;N/A;N/A;"90W wired, 50% in 27 min, 100% in 58 min
6W reverse wired";Si/C Li-Ion 6500 mAh;"IP65 dust tight and water resistant (low pressure water jets)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front, plastic back, plastic frame;-;Nano-SIM + Nano-SIM;-;5.0, A2DP, LE;N/A;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2392 pixels (~388 ppi density);6.77 inches, 110.9 cm2 (~88.7% screen-to-body ratio);AMOLED, 120Hz;N/A;N/A;N/A;N/A;Circle to Search;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Not announced yet;Rumored;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
8 MP, f/2.2, 120˚ (ultrawide)";Ring-LED flash, panorama, HDR;N/A;N/A;N/A;1080p@30fps;UFS 2.2;Unspecified;256GB 8GB RAM;Gray, Blue;V2530;N/A;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (4x2.8 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53);Qualcomm SM6225 Snapdragon 685 (6 nm);Adreno 610;Android 15, Funtouch 15;N/A;32 MP, f/2.5, (wide);1080p@30fps;N/A;No;Yes, with stereo speakers
32;Vivo;vivo V40 Lite (IDN);https://www.gsmarena.com/vivo_v40_lite_(idn)-13353.php;N/A;N/A;"80W wired, 80% in 30 min
Reverse wired";Li-Ion 5000 mAh;IP64 dust tight and water resistant (water splashes);Glass front, plastic back, plastic frame;163.2 x 75.9 x 7.8 mm or 8.0 mm;Nano-SIM + Nano-SIM;188 g or 190 g (6.63 oz);5.0, A2DP, LE;N/A;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~86.7% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 1200 nits (HBM), 1800 nits (peak);N/A;N/A;N/A;N/A;N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, September 25;Available. Released 2024, September 25;"50 MP, f/1.8, (wide), 1/1.95"", 0.8µm, PDAF
8 MP, f/2.2, 120˚ (ultrawide)";Ring-LED flash, panorama, HDR;N/A;N/A;N/A;1080p@30fps;UFS 2.2;microSDXC (uses shared SIM slot);128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Titanium Silver, Carbon Black;V2417;About 250 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;N/A;N/A;N/A;N/A;N/A;N/A;Octa-core (2x2.2 GHz Cortex-A78 & 6x1.95 GHz Cortex-A55);Qualcomm SM4450 Snapdragon 4 Gen 2 (4 nm);Adreno 613;Android 14, Funtouch 14;N/A;32 MP, f/2.5, (wide);1080p@30fps;24-bit/192kHz Hi-Res audio;No;Yes, with stereo speakers
33;Vivo;vivo V60;https://www.gsmarena.com/vivo_v60_5g-14021.php;N/A;N/A;"90W wired, PD
Reverse wired
Bypass charging";Si/C Li-Ion 6500 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 120 min)";Glass front, plastic back or glass back;163.5 x 77 x 7.5 mm or 7.8 mm;Nano-SIM + Nano-SIM;192 g or 201 g (6.77 oz);5.4, A2DP, LE;Yes;Yes;GPS, GALILEO, GLONASS, QZSS, BDS, NavIC;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Schott Xensation Core;1080 x 2392 pixels (~388 ppi density);6.77 inches, 110.9 cm2 (~88.1% screen-to-body ratio);AMOLED, 1B colors, HDR10+, 120Hz, 1500 nits (HBM), 5000 nits (peak);N/A;N/A;N/A;N/A;Virtual proximity sensing;Fingerprint (under display, optical), accelerometer, gyro, compass;2025, August 12;Available. Released 2025, August 19;N/A;Zeiss optics, Ring-LED flash, panorama, HDR;N/A;N/A;"50 MP, f/1.9, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS
50 MP, f/2.7, 73mm (periscope telephoto), 1/1.95"", 0.8µm, PDAF, OIS, 3x optical zoom
8 MP, f/2.0, 15mm, 120˚ (ultrawide)";4K@30fps, 1080p@30/60fps, gyro-EIS, OIS;UFS 2.2;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Mist Grey, Moonlit Blue, Ocean Blue, Auspicious Gold, Berry Purple;V2511;₹ 36,999;0.99 W/kg (head)     0.93 W/kg (body);N/A;1, 3, 5, 8, 28, 38, 40, 41, 66, 77, 78 SA/NSA - India;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 42, 66 - International;1, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Active use score 15:52h;N/A;N/A;1456 nits max brightness (measured);-24.7 LUFS (Very good);"AnTuTu: 1009011 (v10)
GeekBench: 3568 (v6)
3DMark: 1795 (Wild Life Extreme)";Octa-core (1x2.8 GHz Cortex-720 & 4x2.4 GHz Cortex-720 & 3x1.8 GHz Cortex-520);Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm);Adreno 722;Android 15, up to 4 major Android upgrades, Funtouch 15;Zeiss optics, HDR;"50 MP, f/2.2, 21mm (wide), 1/2.76"", 0.64µm, AF";4K@30fps, 1080p@30/60fps;N/A;No;Yes, with stereo speakers
